Unit Postcode,All usual residents,Males,Females,Households
BT4 3FP,37,15,22,19
BT4 3FQ,48,24,24,20
BT4 3FR,36,17,19,18
BT4 3FS,36,18,18,15
BT4 3FT,37,16,21,17
BT4 3FW,58,25,33,24
BT4 3FY,18,10,8,7
BT4 3FZ,9,5,4,4
BT4 3GA,40,14,26,20
BT4 3GB,34,14,20,16
BT4 3GD,8,5,3,7
BT4 3GJ,59,30,29,29
BT4 3GL,94,44,50,33
BT4 3GN,33,18,15,10
BT4 3GP,51,26,25,17
BT4 3GQ,71,31,40,30
BT4 3GR,68,30,38,24
BT4 3GS,48,23,25,19
BT4 3GT,31,11,20,13
BT4 3GU,46,17,29,21
BT4 3GW,55,26,29,21
BT4 3GX,48,23,25,18
BT4 3GY,9,6,3,7
BT4 3GZ,14,6,8,7
BT4 3HA,5,3,2,4
BT4 3HB,16,8,8,7
BT4 3HE,15,8,7,8
BT4 3HG,11,5,6,4
BT4 3HH,*,*,*,*
BT4 3HN,36,16,20,25
BT4 3HT,48,25,23,24
BT4 3HU,34,16,18,15
BT4 3HW,38,20,18,16
BT4 3HX,*,*,*,*
BT4 3HZ,8,4,4,4
BT4 3JB,*,*,*,*
BT4 3JL,10,3,7,4
BT4 3JN,83,37,46,35
BT4 3JP,86,43,43,38
BT4 3JQ,49,22,27,16
BT4 3JR,24,10,14,9
BT4 3JS,70,41,29,22
BT4 3JT,68,34,34,23
BT4 3JU,98,36,62,25
BT4 3JW,45,21,24,25
BT4 3JX,15,8,7,10
BT4 3JZ,21,11,10,5
BT4 3LA,13,8,5,6
BT4 3LD,33,11,22,29
BT4 3LE,13,2,11,10
BT4 3LF,31,15,16,10
BT4 3LG,17,8,9,9
BT4 3LJ,37,17,20,12
BT4 3LL,26,11,15,12
BT4 3LN,30,15,15,13
BT4 3LP,12,4,8,1
BT4 3LQ,34,22,12,20
BT4 3LS,99,40,59,37
BT4 3LT,78,34,44,30
BT4 3LU,36,17,19,15
BT4 3LW,75,37,38,25
BT4 3LX,*,*,*,*
BT4 3LY,28,12,16,12
BT4 3LZ,40,17,23,15
BT4 3NA,72,30,42,25
BT4 3NB,49,19,30,16
BT4 3ND,55,24,31,19
BT4 3NF,28,14,14,19
BT4 3NG,16,8,8,4
BT4 3NJ,8,2,6,4
BT4 3NL,93,36,57,28
BT4 3NN,*,*,*,*
BT4 3NP,10,5,5,2
BT4 3NT,33,19,14,15
BT4 3NU,*,*,*,*
BT4 3NW,85,46,39,65
BT4 3PB,20,12,8,13
BT4 3PD,20,9,11,11
BT4 3PE,19,8,11,7
BT4 3PF,18,7,11,11
BT4 3PG,28,13,15,14
BT4 3PH,7,4,3,5
BT4 3QH,34,18,16,13
BT4 3QJ,18,10,8,7
BT4 3QL,84,44,40,25
BT5 4AA,17,7,10,9
BT5 4AJ,14,7,7,8
BT5 4AP,7,2,5,5
BT5 4AR,74,41,33,41
BT5 4AS,82,37,45,44
BT5 4BL,58,26,32,25
BT5 4BX,54,27,27,23
BT5 4DA,46,22,24,19
BT5 4DF,24,10,14,12
BT5 4DN,106,58,48,49
BT5 4DT,48,26,22,32
BT5 4DU,14,7,7,9
BT5 4DY,29,9,20,16
BT5 4DZ,46,20,26,20
BT5 4EA,31,11,20,16
BT5 4EB,87,42,45,29
BT5 4ED,40,19,21,16
BT5 4EE,23,11,12,12
BT5 4EF,54,22,32,23
BT5 4EG,6,0,6,5
BT5 4EH,9,7,2,7
BT5 4EJ,58,26,32,26
BT5 4EL,40,18,22,15
BT5 4EN,87,47,40,43
BT5 4EP,109,47,62,37
BT5 4EQ,109,53,56,46
BT5 4ER,33,14,19,18
BT5 4ET,38,19,19,12
BT5 4EX,37,15,22,11
BT5 4FD,35,18,17,16
BT5 4FE,24,11,13,13
BT5 4FH,23,10,13,14
BT5 4FJ,57,27,30,21
BT5 4FL,13,8,5,10
BT5 4FN,14,7,7,10
BT5 4FP,8,4,4,8
BT5 4FQ,18,12,6,11
BT5 4FR,13,6,7,5
BT5 4FS,*,*,*,*
BT5 4FT,82,42,40,30
BT5 4FW,25,12,13,9
BT5 4FX,103,53,50,45
BT5 4GE,18,9,9,11
BT5 4GF,19,11,8,8
BT5 4GJ,29,14,15,12
BT5 4GL,85,37,48,32
BT5 4GP,66,34,32,23
BT5 4GQ,24,13,11,18
