Name,Code,All usual residents,Households
TANDRAGEE,N11000093, 3486 , 1382 
TYNAN,N11000097, 71 , 35 
AHOGHILL,N11000098, 3403 , 1320 
BALLYMENA,N11000099, 29467 , 12105 
BROUGHSHANE,N11000100, 2851 , 1235 
CARGAN,N11000101, 588 , 223 
CLOGH,N11000102, 220 , 90 
CULLYBACKEY,N11000103, 2569 , 1088 
GRANGE CORNER,N11000104, 468 , 191 
KELLS / CONNOR,N11000105, 2053 , 808 
MARTINSTOWN,N11000106, 345 , 108 
PORTGLENONE,N11000107, 1174 , 498 
BALLYBOGY,N11000108, 539 , 209 
BALLYMONEY,N11000109, 10393 , 4353 
BALNAMORE,N11000110, 900 , 342 
BENDOORAGH,N11000111, 622 , 217 
BUSHVALE,N11000112, 115 , 42 
CARNEATLY,N11000113, 97 , 37 
CLOGH MILLS,N11000114, 1309 , 514 
CORKEY,N11000115, 202 , 59 
DERRYKEIGHAN,N11000116, 136 , 45 
DERVOCK,N11000117, 714 , 302 
DUNAGHY,N11000118, 391 , 149 
DUNLOY,N11000119, 1215 , 389 
FINVOY,N11000120, 187 , 52 
LOUGHGUILE,N11000121, 396 , 128 
MAGHERAHONEY,N11000122, 77 , 29 
RASHARKIN,N11000123, 1114 , 394 
STRANOCUM,N11000124, 297 , 110 
ANNACLONE,N11000125, 150 , 61 
ARDTANAGH,N11000126, 87 , 31 
ASHFIELD / GOWDYSTOWN,N11000127, 100 , 40 
BANBRIDGE,N11000131, 16653 , 6698 
CORBET,N11000133, 107 , 39 
DROMORE (BANBRIDGE LGD),N11000135, 6011 , 2443 
GILFORD,N11000137, 1927 , 785 
KATESBRIDGE,N11000139, 144 , 51 
KINALLEN,N11000141, 961 , 378 
LAWRENCETOWN,N11000142, 956 , 386 
LEITRIM,N11000143, 121 , 44 
LENADERG,N11000144, 340 , 136 
LOUGHBRICKLAND,N11000145, 688 , 282 
MONEYSLANE,N11000146, 230 , 92 
RATHFRILAND,N11000147, 2472 , 982 
SCARVA,N11000148, 357 , 152 
TULLYLISH,N11000149, 98 , 53 
