Settlement,All people,Males,Females,Lives in a household,Lives in a communal establishment,Schoolchild or full-time student aged 4 and over at their non term-time address,Area (hectares),Density (number of persons per hectare)
Hillside,"1,146",557,589,"1,131",15,17,133,8.59
Hopeman,"1,724",839,885,"1,719",5,35,124,13.85
Houston,"6,396","3,132","3,264","6,396",-,68,208,30.7
Huntly,"4,768","2,271","2,497","4,677",91,37,193,24.66
Hurlford and Crookedholm,"4,846","2,283","2,563","4,772",74,13,143,33.85
Inchture,"1,155",547,608,"1,155",-,11,40,29.16
Innellan,"1,195",567,628,"1,195",-,13,153,7.84
Innerleithen,"3,031","1,476","1,555","3,000",31,43,145,20.93
Insch,"2,282","1,091","1,191","2,241",41,21,99,23.02
Inveraray,596,301,295,578,18,6,37,16.18
Inverbervie,"2,233","1,065","1,168","2,209",24,22,75,29.76
Invergordon,"4,075","1,987","2,088","3,990",85,31,415,9.82
Inverkip,"3,058","1,530","1,528","3,058",-,18,93,32.83
Inverness,"61,235","29,732","31,503","60,195","1,040",725,"2,663",22.99
Inverurie,"12,654","6,178","6,476","12,538",116,95,518,24.41
Irvine,"37,317","17,782","19,535","36,983",334,145,"1,636",22.81
Jedburgh,"4,030","1,895","2,135","4,000",30,48,154,26.12
Johnshaven,672,347,325,672,-,4,22,30.71
Keith,"4,734","2,299","2,435","4,653",81,36,229,20.68
Kelso,"5,639","2,614","3,025","5,560",79,69,193,29.18
Kelty,"6,529","3,145","3,384","6,489",40,27,185,35.27
Kemnay,"3,739","1,820","1,919","3,699",40,34,118,31.77
Kilbirnie,"7,642","3,658","3,984","7,620",22,13,295,25.94
Kilcreggan,"1,309",664,645,"1,309",-,10,156,8.37
Killearn,"1,701",810,891,"1,694",7,62,96,17.75
Killin,765,370,395,719,46,13,114,6.71
Kilmacolm,"3,986","1,876","2,110","3,986",-,121,179,22.32
Kilmarnock,"46,159","22,066","24,093","45,825",334,197,"1,470",31.4
Kilmaurs,"2,833","1,317","1,516","2,825",8,14,81,34.99
Kilsyth,"9,885","4,744","5,141","9,849",36,38,315,31.39
Kilwinning,"16,599","7,857","8,742","16,452",147,45,501,33.1
Kincardine,"2,834","1,380","1,454","2,784",50,18,91,31.21
Kinghorn,"2,826","1,328","1,498","2,782",44,33,107,26.37
Kinglassie,"1,684",818,866,"1,666",18,5,49,34.09
Kingseat (Aberdeenshire),688,329,359,688,-,2,33,20.92
Kingseat (Fife),801,385,416,798,3,5,31,25.53
Kingskettle,"1,002",490,512,"1,002",-,10,33,29.96
Kingswells,"4,483","2,166","2,317","4,413",70,42,150,29.95
Kingussie,"1,476",722,754,"1,443",33,16,124,11.9
Kinlochleven,896,408,488,889,7,7,79,11.34
Kinloss,"1,052",536,516,"1,052",-,12,118,8.95
Kinnesswood,482,237,245,480,2,18,28,17.2
Kinross,"4,891","2,328","2,563","4,872",19,97,202,24.18
Kintore,"4,476","2,177","2,299","4,474",2,36,188,23.83
Kippen,"1,026",488,538,"1,026",-,27,58,17.82
Kirkcaldy and Dysart,"49,709","23,986","25,723","49,147",562,341,"1,889",26.32
Kirkconnel,"2,141","1,022","1,119","2,141",-,6,99,21.66
Kirkcudbright,"3,352","1,669","1,683","3,301",51,31,161,20.87
Kirkfieldbank,962,477,485,962,-,-,55,17.62
Kirkhill,688,333,355,688,-,9,42,16.41
Kirkintilloch,"28,837","13,973","14,864","28,719",118,149,867,33.25
Kirkliston,"3,386","1,623","1,763","3,378",8,19,89,38.2
Kirkmuirhill and Blackwood,"4,242","2,068","2,174","4,209",33,22,115,36.93
Kirknewton,"1,933",948,985,"1,933",-,8,46,42.33
Kirkwall,"7,045","3,406","3,639","6,972",73,122,363,19.39
Kirriemuir,"6,085","2,913","3,172","6,014",71,58,216,28.22
Kyle of Lochalsh,649,334,315,648,1,9,119,5.43
Ladybank,"1,503",747,756,"1,503",-,17,52,28.97
Lamlash,957,445,512,949,8,13,110,8.74
Lanark,"8,855","4,231","4,624","8,703",152,88,322,27.51
Langbank,932,463,469,932,-,6,50,18.76
Langholm,"2,227","1,085","1,142","2,215",12,30,100,22.23
Largs,"11,340","5,299","6,041","11,138",202,115,348,32.63
Larkhall,"16,407","7,694","8,713","16,228",179,39,658,24.94
Lauder,"1,699",839,860,"1,698",1,21,59,28.94
Laurencekirk,"2,925","1,419","1,506","2,844",81,24,112,26.15
Law,"3,233","1,556","1,677","3,233",-,9,78,41.39
Lennoxtown,"4,094","1,962","2,132","4,039",55,9,145,28.25
Lerwick,"6,958","3,531","3,427","6,868",90,116,497,13.99
Lesmahagow,"4,330","2,026","2,304","4,285",45,15,138,31.43
Letham,"1,586",747,839,"1,584",2,19,103,15.46
Leuchars,"3,297","1,760","1,537","2,934",363,40,594,5.55
Lhanbryde,"2,026","1,002","1,024","2,026",-,18,58,34.96
Liff,778,382,396,778,-,2,37,21.13
Limekilns,"1,377",662,715,"1,377",-,32,63,21.82
Linlithgow,"13,462","6,587","6,875","13,331",131,236,442,30.45
Livingston,"64,466","31,485","32,981","64,080",386,400,"3,016",21.37
Loanhead,"6,294","3,018","3,276","6,215",79,14,264,23.84
Loans,692,310,382,692,-,8,18,38.7
Locharbriggs,"6,031","2,915","3,116","6,030",1,40,292,20.65
Lochgilphead,"2,392","1,161","1,231","2,353",39,56,143,16.79
Lochmaben,"1,942",958,984,"1,937",5,17,102,19.12
Lochwinnoch,"2,880","1,402","1,478","2,880",-,27,88,32.81
Lockerbie,"4,287","2,049","2,238","4,202",85,32,238,17.99
Logan,"1,260",604,656,"1,260",-,10,55,22.95
Longforgan,937,435,502,935,2,6,52,17.94
Longniddry,"2,488","1,234","1,254","2,488",-,42,98,25.35
Longridge,903,447,456,903,-,5,25,35.95
Longside,917,455,462,912,5,6,38,23.99
Lossiemouth,"7,705","4,007","3,698","7,104",601,47,214,36.08
Lower Largo and Lundin Links,"1,900",863,"1,037","1,873",27,36,84,22.58
Lumphanan,555,280,275,555,-,11,23,24.12
Luncarty,"1,661",794,867,"1,627",34,37,121,13.76
Macduff,"4,009","1,984","2,025","3,995",14,31,131,30.66
Macmerry,"1,345",661,684,"1,345",-,4,93,14.41
Maidens,461,216,245,457,4,6,45,10.26
Mallaig,806,389,417,794,12,6,62,13.09
Mauchline,"4,099","1,974","2,125","4,082",17,30,117,34.95
Maud,854,426,428,854,-,3,50,16.94
