Postcode,All people,Males,Females,Lives in a household,Lives in a communal establishment,Schoolchild or full-time student aged 4 and over at their non term-time address,Area (hectares),Density (number of persons per hectare)
KW10 6,"1,661",797,864,"1,641",20,22,"5,789",0.29
KW11 6,128,71,57,128,-,6,"76,755",0
KW12 6,"1,666",845,821,"1,666",-,26,"41,667",0.04
KW13 6,91,47,44,91,-,1,"35,201",0
KW14 7,"7,587","3,735","3,852","7,475",112,123,"51,013",0.15
KW14 8,"5,215","2,551","2,664","5,213",2,71,"15,179",0.34
KW15 1,"8,365","4,079","4,286","8,274",91,147,"5,900",1.42
KW16 3,"3,797","1,861","1,936","3,763",34,68,"28,543",0.13
KW17 2,"9,187","4,626","4,561","9,114",73,231,"64,538",0.14
KW2 6,74,37,37,74,-,2,866,0.09
KW3 6,"1,043",514,529,"1,043",-,13,"7,404",0.14
KW5 6,310,153,157,285,25,5,"6,347",0.05
KW6 6,356,174,182,356,-,2,"14,697",0.02
KW7 6,96,48,48,96,-,-,"20,640",0
KW8 6,795,376,419,795,-,6,"7,302",0.11
KW9 6,"1,765",832,933,"1,765",-,21,"15,760",0.11
KY1 1,"7,325","3,584","3,741","7,206",119,59,202,36.23
KY1 2,"7,997","3,842","4,155","7,859",138,30,410,19.5
KY1 3,"4,735","2,303","2,432","4,686",49,28,744,6.36
KY1 4,"5,178","2,510","2,668","5,139",39,37,"2,874",1.8
KY10 2,"3,163","1,542","1,621","3,163",-,42,"2,911",1.09
KY10 3,"5,643","2,707","2,936","5,566",77,87,"3,945",1.43
KY11 1,"6,418","3,144","3,274","6,402",16,47,510,12.59
KY11 2,"13,580","6,712","6,868","13,217",363,59,685,19.82
KY11 3,"3,209","1,558","1,651","3,209",-,49,"1,316",2.44
KY11 4,"12,529","6,084","6,445","12,441",88,62,316,39.59
KY11 7,217,109,108,217,-,2,"1,046",0.21
KY11 8,"14,747","7,392","7,355","14,747",-,149,"1,063",13.87
KY11 9,"9,874","4,886","4,988","9,822",52,115,342,28.84
KY12 0,"10,976","5,207","5,769","10,738",238,70,"2,386",4.6
KY12 7,"5,969","2,916","3,053","5,895",74,119,227,26.34
KY12 8,"10,771","5,310","5,461","10,757",14,150,"3,914",2.75
KY12 9 (part) Fife,"11,441","5,662","5,779","11,323",118,117,"7,930",1.44
KY13 0 (part) Clackmannanshire,104,51,53,104,-,6,391,0.27
KY13 0 (part) Perth & Kinross,"2,213","1,112","1,101","2,153",60,78,"13,099",0.17
KY13 8,"4,891","2,328","2,563","4,872",19,97,202,24.18
KY13 9 (part) Perth & Kinross,"3,561","1,682","1,879","3,478",83,92,"4,992",0.71
KY14 6 (part) Fife,"2,817","1,394","1,423","2,793",24,22,"5,404",0.52
KY14 6 (part) Perth & Kinross,71,35,36,71,-,5,603,0.12
KY14 7 (part) Fife,"3,949","1,941","2,008","3,918",31,42,"6,002",0.66
KY14 7 (part) Perth & Kinross,90,51,39,88,2,6,"1,773",0.05
KY15 4,"6,241","3,030","3,211","6,106",135,93,"8,632",0.72
KY15 5,"8,630","4,155","4,475","8,419",211,178,"8,228",1.05
KY15 7,"6,831","3,345","3,486","6,803",28,90,"10,595",0.64
KY16 0,"5,394","2,777","2,617","5,028",366,81,"4,367",1.24
KY16 8,"10,401","4,957","5,444","10,005",396,182,"9,370",1.11
KY16 9,"9,048","4,055","4,993","5,657","3,391",120,"2,596",3.49
KY2 5,"11,295","5,468","5,827","11,089",206,116,"3,775",2.99
KY2 6,"19,366","9,266","10,100","19,250",116,125,"1,587",12.2
KY3 0,"5,295","2,592","2,703","5,243",52,64,"2,647",2
KY3 9,"5,727","2,728","2,999","5,654",73,67,231,24.79
KY4 0 (part) Fife,"6,506","3,132","3,374","6,466",40,27,"2,271",2.87
KY4 0 (part) Perth & Kinross,354,177,177,354,-,10,598,0.59
KY4 8,"6,029","2,919","3,110","5,903",126,16,"1,959",3.08
KY4 9,"8,341","4,051","4,290","8,295",46,38,"1,148",7.27
KY5 0 (part) Fife,"7,528","3,595","3,933","7,476",52,23,"4,135",1.82
